ObjectID,Source,Group,Subgroup,Title,Category,CategoriesWrapped,StartDate,EndDate,LocationName,Address,Latitude,Longitude,Borough,URL,MinAge,MaxAge,Image,Icon
1568,nypl,nypl,nypl_arts-and-crafts,Teen Art Hour,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:00:00-04:00,,Van Cortlandt Library,,0,0,,https://www.nypl.org/events/programs/2026/05/01/teen-art-hour,13,18,,arts-and-crafts
1569,nypl,nypl,nypl_arts-and-crafts,Craft Corner,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:00:00-04:00,,"Francis Martin Library, Children's Room",,0,0,,https://www.nypl.org/events/programs/2026/05/08/craft-corner,6,12,,arts-and-crafts
1570,nypl,nypl,nypl_arts-and-crafts,Watercolor Painting,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:00:00-04:00,,"Yorkville Library, Meeting Room",,0,0,,https://www.nypl.org/events/programs/2026/05/29/watercolor-painting,13,18,,arts-and-crafts
1571,nypl,nypl,nypl_arts-and-crafts,Coloring Time!,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:00:00-04:00,,Washington Heights Library,"1000 St. Nicholas Avenue, New York, NY 10032",40.8346,-73.9399,,https://www.nypl.org/events/programs/2026/05/01/coloring-time,6,12,,arts-and-crafts
1572,nypl,nypl,nypl_arts-and-crafts,Arts & Crafts,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:00:00-04:00,,Soundview Library,"660 Soundview Avenue, Bronx, NY 10473",40.8182,-73.8625,,https://www.nypl.org/events/programs/2026/05/01/arts-crafts,6,12,,arts-and-crafts
1573,nypl,nypl,nypl_arts-and-crafts,Allerton Sewing Club : Make a Bookmark,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:30:00-04:00,,Allerton Library,"2740 Barnes Avenue, Bronx, NY 10467",40.866,-73.8632,,https://www.nypl.org/events/programs/2026/05/29/allerton-sewing-club-make-corner-bookmark,13,18,,arts-and-crafts
1574,nypl,nypl,nypl_arts-and-crafts,Craft Corner: Handprint Badgers!,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:30:00-04:00,,Morrisania Library,"610 East 169th Street, Bronx, NY 10456",40.8316,-73.9013,,https://www.nypl.org/events/programs/2026/05/29/craft-corner-handprint-badgers,6,12,,arts-and-crafts
1575,nypl,nypl,nypl_arts-and-crafts,Canceled - Create Your Own Buttons or Magnets,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:30:00-04:00,,South Beach Library,"41 Father Capodanno Boulevard, Staten Island, NY 10305",40.5959,-74.0631,,https://www.nypl.org/events/programs/2026/05/29/create-your-own-buttons-or-magnets,6,18,,arts-and-crafts
1576,nypl,nypl,nypl_arts-and-crafts,Children's Arts & Crafts,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:30:00-04:00,,Hudson Park Library,"66 Leroy Street, New York, NY 10014",40.73,-74.0053,,https://www.nypl.org/events/programs/2026/05/01/childrens-arts-crafts,6,12,,arts-and-crafts
1577,nypl,nypl,nypl_arts-and-crafts,Friday Crafternoon,arts-and-crafts,",arts-and-crafts,",2026-05-29T15:30:00-04:00,,Great Kills Library,"56 Giffords Lane, Staten Island, NY 10308",40.5524,-74.151,,https://www.nypl.org/events/programs/2026/05/08/friday-crafternoon-draft,6,12,,arts-and-crafts
1578,nypl,nypl,nypl_arts-and-crafts,TEENS GET CRAFTY: Ceramic Coasters!,arts-and-crafts,",arts-and-crafts,",2026-05-29T16:00:00-04:00,,Kingsbridge Library,"291 West 231st Street, Bronx, NY 10463",40.8805,-73.908,,https://www.nypl.org/events/programs/2026/05/29/teens-get-crafty-ceramic-coasters,13,18,,arts-and-crafts
1579,nypl,nypl,nypl_arts-and-crafts,Just Crafting Around,arts-and-crafts,",arts-and-crafts,",2026-05-29T16:00:00-04:00,,"Hunts Point Library, Children's Room",,0,0,,https://www.nypl.org/events/programs/2026/05/29/just-crafting-around,6,12,,arts-and-crafts
1580,nypl,nypl,nypl_arts-and-crafts,Art Masters: Shrinky Dink Keychains,arts-and-crafts,",arts-and-crafts,",2026-05-29T16:00:00-04:00,,Chatham Square LibraryTeen Center FL 1,,0,0,,https://www.nypl.org/events/programs/2026/05/29/clone-art-masters-shrinky-dink-keychains,13,18,,arts-and-crafts
1581,nypl,nypl,nypl_arts-and-crafts,Crafternoon,arts-and-crafts,",arts-and-crafts,",2026-05-29T16:00:00-04:00,,Fort Washington Library,"535 West 179th Street, New York, NY 10033",40.8478,-73.9337,,https://www.nypl.org/events/programs/2025/05/01/crafternoon,6,12,,arts-and-crafts
1582,nypl,nypl,nypl_arts-and-crafts,DIY Teen Patch-Making,arts-and-crafts,",arts-and-crafts,",2026-05-29T16:30:00-04:00,,"Stavros Niarchos Foundation Library (SNFL), Teen Center",,0,0,,https://www.nypl.org/events/programs/2026/05/29/diy-teen-patch-making,13,18,,arts-and-crafts
1583,nypl,nypl,nypl_arts-and-crafts,Teen Advisory Group - Saturday Club,arts-and-crafts,",arts-and-crafts,",2026-05-30T12:00:00-04:00,,South Beach Library,"41 Father Capodanno Boulevard, Staten Island, NY 10305",40.5959,-74.0631,,https://www.nypl.org/events/programs/2026/05/30/teen-advisory-group-saturday-club,13,18,,arts-and-crafts
1584,nypl,nypl,nypl_arts-and-crafts,67th Street Library Comic Book Festival: Draw Your Favorite Character,arts-and-crafts,",arts-and-crafts,",2026-05-30T12:00:00-04:00,,67th Street Library,"328 East 67th Street, New York, NY 10065",40.7652,-73.9601,,https://www.nypl.org/events/programs/2026/05/30/67th-street-library-comic-book-festival-draw-your-favorite-character,6,12,,arts-and-crafts
1585,nypl,nypl,nypl_arts-and-crafts,Open Process Art Afternoon,arts-and-crafts,",arts-and-crafts,",2026-05-30T12:00:00-04:00,,"Columbus Library, Children's Room",,0,0,,https://www.nypl.org/events/programs/2026/05/02/open-process-art-afternoon,6,12,,arts-and-crafts
1586,nypl,nypl,nypl_arts-and-crafts,67th Street Library Comic Book Festival: Character Draw-Off,arts-and-crafts,",arts-and-crafts,",2026-05-30T12:30:00-04:00,,"67th Street Library, Story Hour Room",,0,0,,https://www.nypl.org/events/programs/2026/05/30/67th-street-library-comic-book-festival-character-draw,6,12,,arts-and-crafts
1587,nypl,nypl,nypl_arts-and-crafts,Saturday Arts & Crafts,arts-and-crafts,",arts-and-crafts,",2026-05-30T13:00:00-04:00,,"Grand Concourse Library, Children's Room",,0,0,,https://www.nypl.org/events/programs/2026/05/30/clone-saturday-arts-crafts,6,12,,arts-and-crafts
1588,nypl,nypl,nypl_arts-and-crafts,67th Street Library Comic Book Festival: You As a Superhero,arts-and-crafts,",arts-and-crafts,",2026-05-30T13:00:00-04:00,,"67th Street Library, Story Hour Room",,0,0,,https://www.nypl.org/events/programs/2026/05/30/67th-street-library-comic-book-festival-you-superhero,6,12,,arts-and-crafts
